Name,Fingerprint,Flags,IP,OrPort,ObservedBW,Uptime,GPS (Long/Lat),Date
akmkirk,835D1E39D9D40A76E94E055769CB7F98FE472E43,M,146.198.126.57,9001,0.380938,65209,EC2V/51.514198,2015-07-11T00:00:00.000Z
holycowburger,5E853C94AB1F655E9C908924370A0A6707508C62,MGEH,120.29.217.51,443,2.7098090000000004,3969754,18.533300/73.866699,2015-07-11T00:00:00.000Z
0x3d069,05DDBB74AAB6F19E003188702B1E54F23035D064,MH,37.48.120.47,110,0.348151,2203093,52.349998/4.916700,2015-07-11T00:00:00.000Z
tortos,3D4F603E7574612D7B713B664A5BC714423C1C60,ME,111.69.165.196,9001,0.09948,279089,-43.531898/172.631607,2015-07-11T00:00:00.000Z
Watchmen,F8756C0963DC691816366AE9E950D884BE111BDC,MG,188.95.247.140,443,12.894208,74882,59.916698/10.750000,2015-07-11T00:00:00.000Z
bloomingflo6,75CBF72D5BBC992C0070FAF72B87F209343D8BDF,M,94.242.59.182,9001,4.792403,48,55.750000/37.616600,2015-07-11T00:00:00.000Z
Torpion,74AB10910A59960243F269ABB4EA9D389B2C0376,MG,37.122.252.33,9001,5.390984,4289997,51.500000/-0.130000,2015-07-11T00:00:00.000Z
mutalisk,C3B33A4C2EA0893C735741CF08FDEE29CA7201E5,M,191.239.211.220,9001,1.256454,860832,53.347801/-6.259700,2015-07-11T00:00:00.000Z
RasTor,B117498B33516DA426EAE6E479F15BF28EA8882D,M,220.233.123.172,9001,0.04621,253572,-33.424400/151.343994,2015-07-11T00:00:00.000Z
Triebwerk,B9500D95C9B0787891C83007CDD2D85F435F3A5C,M,178.201.230.40,9001,0.024405,1159830,51.000000/9.000000,2015-07-11T00:00:00.000Z
Unnamed,23136E5F070ED6A975F39D2F81E97D5D2F9CE55F,MH,65.94.232.144,9001,1.221001,288225,43.642502/-79.387199,2015-07-11T00:00:00.000Z
Montharkan4,3A78E4272083AE7B2FAD47E2181AD85A995AC761,MGH,193.111.140.118,443,10.009777,2064118,51.216702/6.766700,2015-07-11T00:00:00.000Z
bentleywashere2,C0FBBD974C238054C838C9E87E2DD9ED85E37CFE,MGH,104.236.86.41,9001,4.596743,1704564,40.714298/-74.005997,2015-07-11T00:00:00.000Z
NCC1701B,3A5F08D02A0ED4E2BC09F8C1E886B96C3AECFE49,MGE,188.138.1.229,9001,23.4375,553891,51.000000/9.000000,2015-07-11T00:00:00.000Z
Unnamed,6F00E867E67699472651DB9980A4689E7B93B050,MG,81.17.16.35,9001,3.733154,869313,47.000000/8.000000,2015-07-11T00:00:00.000Z
nulldev,15B3B241EA38310C1D46F9D0B42346CC1A05C7FD,MH,93.152.159.223,9034,0.6126609999999999,2073756,42.683300/23.316700,2015-07-11T00:00:00.000Z
CatRelay05,BB873194370CC3DE9C1A7BFBD4477D1C7FE33EF1,MGH,85.114.133.96,9001,5.987715000000001,3335371,51.000000/9.000000,2015-07-11T00:00:00.000Z
default,602239BF846FA9A201E0ADA89FF83DC3E1F9766E,M,111.89.241.79,443,0.607232,4,35.685001/139.751404,2015-07-11T00:00:00.000Z
verax4,7643B686330AC9AF1D72E3BA1927A60EEA2E0C74,MH,178.62.19.132,9001,2.391801,11656370,EC2V/51.514198,2015-07-11T00:00:00.000Z
krosnovorg,34D3AF8DC4CF68BDEA354D21C24EFB2EAFD7191F,MGEH,46.233.0.70,443,2.4919789999999997,892918,42.700001/23.333300,2015-07-11T00:00:00.000Z
