waldheinz,E963D4F79B8CE86CC7373A55E6C034490BD83BEA,M,78.46.123.34,9001,1.291264,64843,51.000000/9.000000,2015-07-10T00:00:00.000Z
default,4EF0D8CA296E5764FB40C64D766B2F826A3C9B0B,M,172.72.210.38,443,0.313981,64904,38.000000/-97.000000,2015-07-10T00:00:00.000Z
Unnamed,0AD386346E78D3B091616CACAAD1C5C316FC5212,M,162.243.32.202,9001,0.3485,5370867,40.714298/-74.005997,2015-07-10T00:00:00.000Z
black,4B12D774B094196DBD386940690FEDE1D97A2DE5,ME,150.140.5.34,9001,0.19187700000000002,518391,38.244400/21.734400,2015-07-10T00:00:00.000Z
cornelius,6C4292AC47C8E2CC456DD9BF85660CF67062A6C0,MG,45.33.0.10,9001,5.042787000000001,7200196,39.489899/-74.477303,2015-07-10T00:00:00.000Z
TorSxFR01,2296B96990A16157B6CEBDA22553A9AA492F5B0D,MG,195.154.105.53,9001,5.436363999999999,5865577,48.860001/2.350000,2015-07-10T00:00:00.000Z
Murgh,177D77E9365F9F34FAF0C402D0D034DCFBE22CD4,M,188.96.59.125,443,0.122129,64857,53.816700/10.383300,2015-07-10T00:00:00.000Z
OnionPi,0D4600825CAFA53099A7DD398EF5C4F4D3FC8407,M,75.97.137.234,9001,0.029295,510111,41.365601/-75.839600,2015-07-10T00:00:00.000Z
satoshitor,67D02F58E692A9AEC8B7E11FD04BAF98110281FC,MH,104.41.2.139,443,0.5374779999999999,22364736,-23.547701/-46.635799,2015-07-10T00:00:00.000Z
Hamster,0B57D1E84834877E77A3B1EE4BE1B05A2AB61267,MG,178.62.201.15,9090,15.301287,1664898,52.349998/4.916700,2015-07-10T00:00:00.000Z
RelayName,F0F9DECAC869E973E72290B36527B778ABE3DC24,M,84.17.231.130,9001,0.898631,749073,55.750000/37.616600,2015-07-10T00:00:00.000Z
default,07A1CEA1D77860B477479E44E2EFE3DE89555225,ME,95.21.16.202,443,0.051872999999999996,70,40.400002/-3.683300,2015-07-10T00:00:00.000Z
KDFrelayNewport,61A4E1C46F1A16051021F4CAABFC5322415B3E52,MH,108.184.74.90,9001,0.627421,539970,33.840302/-118.353897,2015-07-10T00:00:00.000Z
XMPPwocky,17A8DD72E13881CCCE32172E52DC93CE32924B27,M,162.243.139.73,9001,0.060496,545270,37.774899/-122.419403,2015-07-10T00:00:00.000Z
stornode,02D0DEF3BBA183CFBD57450C7C38CD9F1CB8BC44,MH,176.12.107.30,9001,0.6171169999999999,2593293,51.500000/-0.130000,2015-07-10T00:00:00.000Z
tor3multisec,38E7B0B9E90CDAB04958950C4E3BE822B1FB6A32,ME,193.90.12.88,9003,0.169377,2545835,59.950001/10.750000,2015-07-10T00:00:00.000Z
FreeBradleyManning,895E7974C556CA7BF707329D3F8B3EFBB976854D,M,178.201.151.248,20152,0.137216,305,51.000000/9.000000,2015-07-10T00:00:00.000Z
thesource,6A67CBAE31D20695CBAF7673527DF15421B555E3,M,69.14.28.109,9001,0.12265300000000001,1536956,42.489498/-83.141899,2015-07-10T00:00:00.000Z
ymkeo,4E8CE6F5651E7342C1E7E5ED031E82078134FB0D,MH,82.161.212.209,9001,0.5246069999999999,1089643,52.366699/4.900000,2015-07-10T00:00:00.000Z
Latrine,11827E1A3E75FC9523E7711773BC9A678446BB80,MGH,81.218.91.154,9001,2.536969,6266353,31.500000/34.750000,2015-07-10T00:00:00.000Z
verax3,5F027C7296AFB8EA8AB83858AA7BD915B7E94FF7,MH,128.199.174.247,9001,0.661982,18891397,1.293100/103.855797,2015-07-10T00:00:00.000Z
foozmeat1,614FCCB06C88FA00CD6BDCF405F2552ED08FF965,MEH,65.181.118.10,443,0.622793,1938520,25.780600/-80.182602,2015-07-10T00:00:00.000Z
MrIceManNCSU,53AB7D861525273497DEF261690E88C6A0F33873,MH,162.229.180.109,9001,1.106491,1792973,38.000000/-97.000000,2015-07-10T00:00:00.000Z
SerovaDpUa,4829905CDE56523E6121EEA931C3D2005673AC95,M,85.198.174.157,9933,0.612352,64843,50.450001/30.523300,2015-07-10T00:00:00.000Z
zNode,11BBF548ECD69D28A13113B0BE76D297B4C18993,M,104.200.24.65,9001,0.30588099999999996,2038864,39.489899/-74.477303,2015-07-10T00:00:00.000Z
DFRIpi018,A9C7D9EC396F2FF0068F38E302C3BDD8A00EE3D5,M,178.174.225.229,643,0.878952,4999630,59.329399/18.068600,2015-07-10T00:00:00.000Z
gocahootsinthepark,0B643E6D7EE439353773BE19FEF69E5CF1195ABC,M,37.59.96.82,9001,0.23388,792284,48.860001/2.350000,2015-07-10T00:00:00.000Z
